year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2007	BRONX	754	290	ELL	2283	1239	12.7	616	0	0	12.7	54.3	5	33	290
2007	BRONX	1105	6153	EP	13658	6154	46.9	648	246	1.8	45.1	45.1	5	8.1	6399
2008	BRONX	308	733	ELL	2538	1495	29	633	2	0.1	28.9	58.9	5	12.1	735
2008	BRONX	364	7968	EP	12912	4330	63.6	655	250	1.9	61.7	33.5	5	2.8	8218
2009	BRONX	115	1024	ELL	2683	1537	38.4	644	7	0.3	38.2	57.3	5	4.3	1031
2009	BRONX	123	8194	EP	12527	3534	70.8	663	676	5.4	65.4	28.2	5	1	8870
2010	BRONX	1070	336	ELL	2648	1207	14	650	35	1.3	12.7	45.6	5	40.4	371
2010	BRONX	2146	3932	EP	12451	5469	38.8	665	904	7.3	31.6	43.9	5	17.2	4836
2011	BRONX	1016	285	ELL	2638	1334	10.9	649	3	0.1	10.8	50.6	5	38.5	288
2011	BRONX	1604	4895	EP	12702	5915	40.8	663	288	2.3	38.5	46.6	5	12.6	5183
2012	BRONX	1143	312	ELL	2762	1307	11.3	650	0	0	11.3	47.3	5	41.4	312
2012	BRONX	1622	5444	EP	12622	5314	45	665	242	1.9	43.1	42.1	5	12.9	5686
2006	BRONX	602	112	ELL	1490	776	7.5	603	0	0	7.5	52.1	6	40.4	112
2006	BRONX	1292	5018	EP	13206	6441	41.4	641	455	3.4	38	48.8	6	9.8	5473
2007	BRONX	322	177	ELL	1980	1481	8.9	620	0	0	8.9	74.8	6	16.3	177
2007	BRONX	531	5299	EP	13376	7121	42.8	647	425	3.2	39.6	53.2	6	4	5724
2008	BRONX	303	238	ELL	2273	1731	10.5	623	1	0	10.5	76.2	6	13.3	239
2008	BRONX	370	5506	EP	12804	6803	44	647	125	1	43	53.1	6	2.9	5631
2009	BRONX	22	689	ELL	2350	1637	29.4	642	2	0.1	29.3	69.7	6	0.9	691
2009	BRONX	29	8294	EP	12851	4195	67.1	657	333	2.6	64.5	32.6	6	0.2	8627
2010	BRONX	1313	112	ELL	2363	937	4.8	641	1	0	4.7	39.7	6	55.6	113
2010	BRONX	2255	3838	EP	12545	6312	31.7	655	140	1.1	30.6	50.3	6	18	3978
2011	BRONX	1359	114	ELL	2472	999	4.6	639	0	0	4.6	40.4	6	55	114
2011	BRONX	2370	4349	EP	12559	5735	35.5	655	105	0.8	34.6	45.7	6	18.9	4454
2012	BRONX	1225	89	ELL	2240	926	4	641	0	0	4	41.3	6	54.7	89
2012	BRONX	1836	4687	EP	12957	6368	36.7	657	66	0.5	36.2	49.1	6	14.2	4753
2006	BRONX	676	108	ELL	1744	959	6.3	601	1	0.1	6.2	55	7	38.8	109
2006	BRONX	1702	4554	EP	13755	7154	35.6	636	345	2.5	33.1	52	7	12.4	4899
2007	BRONX	782	134	ELL	1974	1058	6.8	599	0	0	6.8	53.6	7	39.6	134
2007	BRONX	1241	5046	EP	14005	7470	37.8	640	248	1.8	36	53.3	7	8.9	5294
2008	BRONX	275	343	ELL	2263	1645	15.2	625	0	0	15.2	72.7	7	12.2	343
2008	BRONX	359	7074	EP	13482	5996	52.9	650	53	0.4	52.5	44.5	7	2.7	7127
2009	BRONX	82	499	ELL	2239	1658	22.3	636	0	0	22.3	74.1	7	3.7	499
2009	BRONX	76	8459	EP	13100	4394	65.9	656	171	1.3	64.6	33.5	7	0.6	8630
2010	BRONX	1214	84	ELL	2293	991	3.8	638	4	0.2	3.7	43.2	7	52.9	88
2010	BRONX	2147	3179	EP	12781	7096	27.7	656	359	2.8	24.9	55.5	7	16.8	3538
2011	BRONX	1137	60	ELL	2346	1149	2.6	638	0	0	2.6	49	7	48.5	60
2011	BRONX	1686	3283	EP	12797	7744	26.3	656	84	0.7	25.7	60.5	7	13.2	3367
2012	BRONX	1050	84	ELL	2435	1301	3.4	641	0	0	3.4	53.4	7	43.1	84
2012	BRONX	1359	4215	EP	12600	6944	34.1	659	82	0.7	33.5	55.1	7	10.8	4297
2006	BRONX	869	40	ELL	1826	917	2.2	598	0	0	2.2	50.2	8	47.6	40
2006	BRONX	1915	3856	EP	13688	7744	29.4	634	173	1.3	28.2	56.6	8	14	4029
2007	BRONX	766	135	ELL	2181	1280	6.2	607	0	0	6.2	58.7	8	35.1	135
2007	BRONX	1324	4864	EP	14282	7953	35	638	141	1	34.1	55.7	8	9.3	5005
2008	BRONX	754	71	ELL	2044	1219	3.5	606	0	0	3.5	59.6	8	36.9	71
2008	BRONX	990	4154	EP	13231	7979	32.2	640	108	0.8	31.4	60.3	8	7.5	4262
2009	BRONX	293	237	ELL	2283	1753	10.4	623	0	0	10.4	76.8	8	12.8	237
2009	BRONX	320	6543	EP	13464	6451	49.7	648	150	1.1	48.6	47.9	8	2.4	6693
2010	BRONX	1188	69	ELL	2324	1066	3	623	1	0	3	45.9	8	51.1	70
2010	BRONX	1933	3673	EP	13221	7399	29.4	647	216	1.6	27.8	56	8	14.6	3889
2011	BRONX	1003	49	ELL	2339	1287	2.1	627	0	0	2.1	55	8	42.9	49
2011	BRONX	1485	3301	EP	13063	8239	25.6	647	38	0.3	25.3	63.1	8	11.4	3339
2012	BRONX	1028	58	ELL	2341	1255	2.5	628	0	0	2.5	53.6	8	43.9	58
2012	BRONX	1137	3740	EP	12707	7784	29.8	650	46	0.4	29.4	61.3	8	8.9	3786
2006	BRONX	3483	761	ELL	8310	4060	9.2	605	6	0.1	9.2	48.9	All Grades	41.9	767
2006	BRONX	9736	31592	EP	79301	35744	42.6	643	2229	2.8	39.8	45.1	All Grades	12.3	33821
2007	BRONX	4533	2004	ELL	14341	7797	14	616	7	0	14	54.4	All Grades	31.6	2011
2007	BRONX	7697	33505	EP	81044	37989	43.6	645	1853	2.3	41.3	46.9	All Grades	9.5	35358
2008	BRONX	3272	2830	ELL	15199	9064	18.8	624	33	0.2	18.6	59.6	All Grades	21.5	2863
2008	BRONX	4845	37356	EP	77162	33463	50.4	649	1498	1.9	48.4	43.4	All Grades	6.3	38854
2009	BRONX	1582	4657	ELL	15523	9248	30.2	637	36	0.2	30	59.6	All Grades	10.2	4693
2009	BRONX	2212	46720	EP	76742	25593	63.8	657	2217	2.9	60.9	33.3	All Grades	2.9	48937
2010	BRONX	7067	1624	ELL	15979	7166	10.9	641	122	0.8	10.2	44.8	All Grades	44.2	1746
2010	BRONX	12607	22866	EP	75678	37214	34.2	657	2991	4	30.2	49.2	All Grades	16.7	25857
2011	BRONX	6724	1532	ELL	16078	7807	9.6	641	15	0.1	9.5	48.6	All Grades	41.8	1547
